Cohort	2024	2025	2026
AVERAGE	71%	70%	61%
CEO	81%	82%	79%
Senior Executive	82%	84%	66%
Senior Leader	75%	78%	63%
Mid-Level Leader	70%	71%	60%
First Level Supervisor/Manager	73%	71%	62%
Individual Contributor	57%	59%	51%
Gen Z		73%	60%
Millennial		74%	64%
Gen X		64%	58%
Baby Boomers		61%	53%
USA	75%	76%	64%
UK	60%	68%	68%
France		64%	56%
Germany		67%	54%
UAE		76%	65%
Saudi Arabia		80%	66%
Singapore			56%
India		85%	71%
Japan	84%	40%	46%
Australia	63%	69%	58%
Brazil	72%	77%	62%
