	HEADLINES	HEADLINES	HEADLINES	HEADLINES	HEADLINES	ALL	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S1: Age Generation	S1: Age Generation	S1: Age Generation	S1: Age Generation	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location
Measure	Just sharing the text these selections are based on	Key Stat 1 Value	Kay Stat 1 Who	Key Stat 2 Value	Kay Stat 2 Who	TOTAL	CEO	Senior Executive	Senior Leader	Mid-Level Leader	First Level Supervisor/Manager	Individual Contributor	Accounting and Finance	Corporate Management	Customer Service	Human Resources	Information Technology	Marketing and Advertising	Operations	Production	Purchasing	Research and Development	Sales	Other	Technology	Not for profit	Media and Entertainment	Retail	Sports	Travel, Hospitality and Leisure	Healthcare	Life Sciences	Financial Services	Industrial	Clean Technology	Government	Energy	Telecommunications	Professional Services	Consumer Goods	Utility	Other	Gen Z	Millennial	Gen X	Baby Boomers	1 - 50	51 - 500	501 - 5,000	5,001 -  50,000	50,001 - 100,000	100,001 - 200,000	200,001 - 300,000	300,001 - 400,000	400,001 - 500,000	Over 500,000	USA	UK	France	Germany	UAE	Saudi Arabia	Singapore	India	Japan	Australia	Brazil
AI tools have increased the number of tasks expected in my role	52% of workers say AI tools have increased tasks instead of decreasing them 	0.52	TOTAL			0.52	0.68	0.52	0.51	0.55	0.6	0.39	0.59	0.55	0.41	0.52	0.65	0.5	0.49	0.45	0.49	0.54	0.49	0.4	0.67	0.44	0.58	0.45	0.55	0.46	0.48	0.52	0.64	0.47	0.54	0.41	0.55	0.61	0.45	0.49	0.45	-	0.6	0.58	0.45	0.29	0.37	0.52	0.57	0.54	0.56	0.59	0.55	0.43	0.55	0.47	0.53	0.51	0.45	0.47	0.59	0.64	0.5	0.73	0.36	0.45	0.51
When I've been asked to use AI to help with my job, I found it increased my efficiency	Only 51% of individual contributors say AI has increased efficiency in their role…compared 79% of CEOs.	0.51	Individual Contributor	0.79	CEO	0.63	0.79	0.64	0.61	0.67	0.72	0.51	0.7	0.67	0.53	0.62	0.78	0.63	0.6	0.56	0.58	0.71	0.59	0.45	0.79	0.59	0.64	0.54	0.68	0.59	0.57	0.64	0.74	0.59	0.71	0.54	0.68	0.69	0.58	0.59	0.61	1	0.72	0.71	0.55	0.36	0.5	0.63	0.69	0.65	0.67	0.67	0.59	0.68	0.66	0.62	0.61	0.68	0.53	0.54	0.68	0.78	0.69	0.81	0.48	0.57	0.74
I feel adequately trained to use AI tools	Only 40% of individual contributors feel adequately trained to use their AI tools vs 64% of CEOs or 60% of first level managers	0.4	Individual Contributor	0.6	First Level Supervisor/Manager	0.52	0.64	0.54	0.5	0.54	0.6	0.4	0.57	0.54	0.43	0.5	0.67	0.52	0.48	0.46	0.48	0.59	0.47	0.37	0.7	0.45	0.55	0.44	0.54	0.48	0.48	0.52	0.62	0.49	0.58	0.41	0.53	0.57	0.46	0.48	0.49	0.5	0.6	0.58	0.45	0.26	0.39	0.51	0.57	0.57	0.54	0.53	0.55	0.55	0.61	0.58	0.49	0.55	0.41	0.42	0.62	0.65	0.51	0.76	0.31	0.44	0.7
