	HEADLINES	HEADLINES	HEADLINES	HEADLINES	HEADLINES	ALL	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S1: Age Generation	S1: Age Generation	S1: Age Generation	S1: Age Generation	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location
Measure	Just sharing the text these selections are based on	Key Stat 1 Value	Kay Stat 1 Who	Key Stat 2 Value	Kay Stat 2 Who	AVERAGE	CEO	Senior Executive	Senior Leader	Mid-Level Leader	First Level Supervisor/Manager	Individual Contributor	Technology	Not for profit	Media and Entertainment	Retail	Sports	Travel, Hospitality and Leisure	Healthcare	Life Sciences	Financial Services	Industrial	Clean Technology	Government	Energy	Telecommunications	Professional Services	Consumer Goods	Utility	Other	Gen Z	Millennial	Gen X	Baby Boomers	USA	UK	France	Germany	UAE	Saudi Arabia	Singapore	India	Japan	Australia	Brazil
My workload has increased significantly in the last two years	62% say their workload has increased significantly in the last two years 	62%	Average	70%	First Level Supervisor/Manager	62%	64%	58%	63%	67%	70%	53%	72%	59%	61%	59%	63%	58%	61%	63%	66%	62%	65%	60%	65%	64%	58%	62%	57%	50%	67%	67%	57%	47%	61%	64%	56%	56%	70%	71%	68%	78%	46%	58%	63%
I am too busy to deliver meaningful results	45% say they are too busy to deliver meaningful results 	45%	Average	50%	First Level Supervisor/Manager	45%	49%	42%	44%	49%	50%	39%	53%	40%	43%	41%	48%	43%	41%	46%	52%	46%	45%	43%	46%	49%	38%	43%	42%	50%	50%	48%	41%	30%	43%	36%	44%	42%	50%	58%	46%	62%	39%	39%	47%
I am stretched too far beyond my capabilities at work	44% say they are stretched beyond their capabilities at work  	44%	Average	49%	First Level Supervisor/Manager	44%	50%	44%	42%	47%	49%	38%	51%	40%	43%	42%	49%	43%	44%	47%	48%	41%	44%	44%	46%	47%	38%	38%	41%	50%	50%	48%	40%	27%	44%	36%	40%	41%	53%	56%	45%	63%	33%	38%	50%
