	HEADLINES	HEADLINES	HEADLINES	HEADLINES	HEADLINES	ALL	Job Level	Job Level	Job Level	Job Level	Job Level	Job Level	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Age Generation	Age Generation	Age Generation	Age Generation	Country	Country	Country	Country	Country	Country	Country	Country	Country	Country	Country
Measure	Just sharing the text these selections are based on	Key Stat 1 Value	Kay Stat 1 Who	Key Stat 2 Value	Kay Stat 2 Who	AVERAGE	CEO	Senior Executive	Senior Leader	Mid-Level Leader	First Level Supervisor/Manager	Individual Contributor	Communications Services	Consumer Markets	Energy	Financial Services	Government	Healthcare	Industrial	Life Sciences	Not for profit	Professional Services	Sports	Technology	Utility	Gen Z	Millennial	Gen X	Baby Boomers	USA	UK	France	Germany	UAE	Saudi Arabia	Singapore	India	Japan	Australia	Brazil
My organization has cut back on the number of managers	42% of organizations have cut managers this year	42%	Average			42%	48%	38%	39%	47%	49%	37%	43%	40%	44%	52%	37%	38%	41%	42%	39%	39%	45%	50%	40%	49%	46%	37%	27%	44%	40%	38%	38%	47%	50%	42%	56%	33%	37%	46%
I feel exhausted by the pace of change at my organization	55% of first-level and 54% mid-level managers feel exhausted	55%	First Level Supervisor/Manager	54%	Mid-Level Leader	49%	49%	46%	49%	54%	55%	44%	55%	44%	51%	65%	44%	47%	44%	47%	47%	40%	52%	61%	47%	56%	53%	45%	32%	50%	42%	49%	46%	56%	63%	48%	63%	39%	45%	54%
I am too busy to deliver meaningful results	50% of first-level managers are too busy to deliver meaningful results	50%	First Level Supervisor/Manager			45%	49%	42%	44%	49%	50%	39%	46%	42%	45%	52%	43%	41%	46%	46%	40%	38%	48%	53%	42%	50%	48%	41%	30%	43%	36%	44%	42%	50%	58%	46%	62%	39%	39%	47%
I am getting what I need from my manager to be successful in my role	21% of individual contributors aren’t getting what they need from their managers to be successful in their role	21%	Individual Contributor			17%	6%	12%	17%	16%	17%	21%	17%	19%	14%	14%	21%	18%	17%	16%	19%	17%	15%	11%	16%	16%	15%	18%	20%	15%	13%	17%	17%	16%	14%	19%	13%	26%	17%	0.18
